chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
PLTR,2021-03-05,25.0000,put,sell,2021-02-25T17:06:14.036586Z,credit,1.00000,limit,short_put,,1.85000000,1.00000
PLTR,2021-02-26,26.0000,put,buy,2021-02-25T17:05:29.988650Z,debit,1.00000,limit,,short_put,1.69000000,1.00000
PLTR,2021-03-05,28.0000,call,sell,2021-02-25T16:40:37.533590Z,credit,1.00000,limit,short_call,,0.70000000,1.00000
PLTR,2021-02-26,28.0000,call,buy,2021-02-25T16:40:02.090201Z,debit,1.00000,limit,,short_call,0.11000000,1.00000
NIO,2021-03-05,40.0000,put,buy,2021-02-24T17:06:26.707001Z,debit,1.00000,limit,,short_put,0.79000000,1.00000
NIO,2021-03-05,40.0000,put,sell,2021-02-23T16:18:18.200310Z,credit,1.00000,limit,short_put,,1.47000000,1.00000
RKT,2021-02-26,21.0000,call,sell,2021-02-23T15:36:42.655065Z,credit,1.00000,limit,short_call,,0.54000000,1.00000
RKT,2021-02-26,21.5000,call,buy,2021-02-23T15:34:47.121951Z,debit,1.00000,limit,,short_call,0.43000000,1.00000
CRSR,2021-03-19,40.0000,call,sell,2021-02-23T14:57:32.895430Z,credit,1.00000,limit,short_call,,2.45000000,1.00000
CRSR,2021-03-19,45.0000,call,buy,2021-02-23T14:55:57.449312Z,debit,1.00000,limit,,short_call,1.34000000,1.00000
PLTR,2021-02-26,28.0000,call,sell,2021-02-23T14:31:02.561463Z,credit,1.00000,limit,short_call,,0.46000000,1.00000
PLTR,2021-02-26,29.0000,call,buy,2021-02-23T14:30:36.194543Z,debit,1.00000,limit,,short_call,0.32000000,1.00000
PLTR,2021-02-26,26.0000,put,sell,2021-02-22T18:19:06.943747Z,credit,1.00000,limit,short_put,,0.39000000,1.00000
MARA,2021-03-05,28.0000,call,buy,2021-02-22T18:13:33.119077Z,debit,1.00000,limit,,short_call,10.55000000,1.00000
MARA,2021-02-26,27.0000,call,buy,2021-02-22T18:09:45.771109Z,debit,1.00000,limit,,short_call,10.75000000,1.00000
PLTR,2021-02-26,29.0000,call,sell,2021-02-22T15:35:14.686813Z,credit,1.00000,limit,short_call,,1.51000000,1.00000
MARA,2021-02-26,27.0000,call,sell,2021-02-22T15:32:10.062419Z,credit,1.00000,limit,short_call,,12.95000000,1.00000
MARA,2021-03-12,30.0000,call,buy,2021-02-22T15:28:59.674003Z,debit,1.00000,limit,,short_call,13.20000000,1.00000
PLTR,2021-02-26,27.5000,put,buy,2021-02-22T15:28:25.774631Z,debit,1.00000,limit,,short_put,0.82000000,1.00000
